battery_id,cycle,voltage,current,temperature,capacity,soh,rul_cycles,rul_years,battery_type,timestamp
B0005,1,3.68285347004839,0.81759706280827,23.279144723853214,1.9994497831048683,0.9997248915524342,57.937928787588035,0.15873405147284395,Li-ion,2020-01-01
B0005,2,3.680242347079773,1.1275590452763804,26.495064195019875,1.998332053638323,0.9991660268191614,57.77580845863672,0.1582898861880458,Li-ion,2020-01-02
B0005,3,3.7074988483007325,0.9915100571251301,26.03592145769843,1.9968089898057662,0.9984044949028831,57.55489667547408,0.1576846484259564,Li-ion,2020-01-03
B0005,4,3.7019111349375096,1.0049615088680859,24.270724082856354,1.9949437302088555,0.9974718651044278,57.28435133469015,0.1569434283142196,Li-ion,2020-01-04
B0005,5,3.6630025851710135,0.9374493163699601,23.945875414651752,1.9927741937406875,0.9963870968703438,56.96967235697797,0.15608129412870678,Li-ion,2020-01-05
B0005,6,3.6805896882498663,0.9177691042626791,26.106271517480224,1.9903266622842022,0.9951633311421011,56.614671780612646,0.15510868980989767,Li-ion,2020-01-06
B0005,7,3.731933946169744,1.061665877114286,24.7223629680788,1.9876208378868823,0.9938104189434411,56.22220727600061,0.1540334445917825,Li-ion,2020-01-07
B0005,8,3.722137410530851,0.8655360302612094,24.431113858614395,1.9846722503863166,0.9923361251931583,55.794531358132105,0.15286172974830714,Li-ion,2020-01-08
B0005,9,3.715081279365427,0.9989995598704157,23.579269533195003,1.9814935779875191,0.9907467889937596,55.33348292884244,0.15159858336669163,Li-ion,2020-01-09
B0005,10,3.677540463947597,0.952918124354126,25.222253633678633,1.9780954431478905,0.9890477215739453,54.84060271541813,0.1502482266175839,Li-ion,2020-01-10
B0005,11,3.7167046039520883,1.1470141863777479,25.70101807270726,1.9744869258971989,0.9872434629485994,54.31720772475301,0.14881426773904935,Li-ion,2020-01-11
B0005,12,3.668010716827439,0.9108248064571813,26.69609978868921,1.9706759123700182,0.9853379561850091,53.764441796004554,0.14729984053699877,Li-ion,2020-01-12
B0005,13,3.7302283575482202,1.056057407934918,29.601465136014234,1.9666693412045715,0.9833346706022857,53.18331133935061,0.1457077022995907,Li-ion,2020-01-13
